dataset,mem_mode,w_mode,run,acc_aupr_opt_thr,acc_auroc_opt_thr,ap,ap_inherent,au_pr_score,au_roc_score,auc_inherent,f1_aupr_opt_thr,f1_auroc_opt_thr,opt_thr_au_pr,opt_thr_au_roc,prec_aupr_opt_thr,prec_auroc_opt_thr,rec_aupr_opt_thr,rec_auroc_opt_thr
Contacts,window_freq_weight,fixed,0,0.9193990898540102,0.9205961761651701,0.941851800440661,0.941851800440661,0.9537814961330205,0.9514749345896198,0.9514749345896198,0.9121209303522709,0.915853248689627,1.1102180164475377,1.1486720273396354,0.944555095718816,0.9452446700482701,0.8909312198399609,0.892388064259972
SocialEvo,freq_weight,fixed,0,0.8031204301075269,0.8252775729646697,0.8548166379284386,0.8548166379284386,0.8528873050711988,0.882774205135193,0.882774205135193,0.7831431002421755,0.8302769134768627,6.119290048038361,6.233327898553094,0.7907895409140331,0.8054514715575694,0.8427811571940603,0.8610065540194572
SocialEvo,repeat_freq,fixed,0,0.502341833077317,0.5,0.7504110704236686,0.7504110704236686,0.8603721919259506,0.8167037378392217,0.8167037378392217,0.008739339325808506,0.0,0.986031746031746,1.0,0.9960492799708086,1.0,0.007786687147977472,0.0
SocialEvo,time_window,avg_reoccur,0,0.5,0.5,0.6826161418954204,0.6826161418954204,0.840041214788264,0.7646097286226319,0.7646097286226319,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
SocialEvo,time_window,fixed,0,0.5,0.5,0.6107923727412033,0.6107923727412033,0.8048741235111941,0.6807976446492576,0.6807976446492576,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
SocialEvo,unlim_mem,fixed,0,0.5,0.5,0.5205906699772588,0.5205906699772588,0.7602166745436499,0.5394162314388121,0.5394162314388121,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
SocialEvo,window_freq_weight,avg_reoccur,0,0.854183870967742,0.8641806963645673,0.8859042177746161,0.8859042177746161,0.8862226199121993,0.9166691296433939,0.9166691296433939,0.848357751868764,0.8694342081073216,3.255179731309386,3.449920864865874,0.8259717851125173,0.8386363439349923,0.9023295442908347,0.9054819252432156
SocialEvo,window_freq_weight,fixed,0,0.8300554019457246,0.8537696876600104,0.8778164971541594,0.8778164971541594,0.876755893759982,0.9090190828502056,0.9090190828502056,0.8044638617059519,0.858901669497127,4.550406903381716,4.587391529618512,0.8213455333399727,0.8300139368187025,0.8576096262160778,0.8931048643113159
UNtrade,freq_weight,fixed,0,0.5069886363636363,0.6435152347652349,0.608436251587793,0.608436251587793,0.5427797275627844,0.6588387998753383,0.6588387998753383,0.050175141521779945,0.6800542250020388,3.2481232544524405,1.8239829405277752,0.8833542953857805,0.6108701919241462,0.06147727272727272,0.7771778221778222
UNtrade,repeat_freq,fixed,0,0.5601431901431901,0.5,0.5681088437515923,0.5681088437515923,0.6769355283651025,0.6024889693639692,0.6024889693639692,0.36617786805742775,0.0,0.3051948051948052,,0.7098365985829452,1.0,0.34718115218115214,0.0
UNtrade,time_window,avg_reoccur,0,0.5030733849483848,0.5,0.6062021440293465,0.6062021440293465,0.7808000009589641,0.6702730602730603,0.6702730602730603,0.02214941572497571,0.0,0.9642857142857143,1.0,0.9846662929160086,1.0,0.0243518981018981,0.0
UNtrade,time_window,fixed,0,0.5015178571428571,0.5,0.60435744428293,0.60435744428293,0.7895963568757741,0.6698339160839161,0.6698339160839161,0.010450542534048165,0.0,0.9837662337662337,1.0,0.9930679288367961,1.0,0.011948051948051947,0.0
UNtrade,unlim_mem,fixed,0,0.5,0.5,0.5713103741317753,0.5713103741317753,0.7802333629062459,0.6237512487512487,0.6237512487512487,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
UNtrade,window_freq_weight,avg_reoccur,0,0.5003977272727272,0.40351565101565107,0.606105363457236,0.606105363457236,0.34330197130870527,0.5845267944395349,0.5845267944395349,0.004621734640416715,0.004621734640416715,1.0933465080433278,0.6931471805599453,0.9947776243285659,0.00776463731557889,0.004837662337662339,0.004837662337662339
UNtrade,window_freq_weight,fixed,0,0.5021996753246754,0.6150258075258075,0.614945936396188,0.614945936396188,0.3785535916293685,0.6123392640479179,0.6123392640479179,0.009212051224723784,0.5748366730381583,1.5743542872082839,0.977529771858624,0.9952244178885316,0.5118034366930503,0.010503246753246752,0.6589227439227439
UNvote,freq_weight,fixed,0,0.5471488402061855,0.5961259800311877,0.5835891442882396,0.5835891442882396,0.5747307183824574,0.6181888917578099,0.6181888917578099,0.3343972571390961,0.6432978576702039,3.1515620176465924,2.502018064790676,0.6765574541779367,0.5745542074552477,0.42085051546391755,0.7591981612232521
UNvote,repeat_freq,fixed,0,0.5509489517456467,0.5,0.5362558877921337,0.5362558877921337,0.6593125935628449,0.5585810393745126,0.5585810393745126,0.46383100567070007,0.0,0.05154639175257732,,0.5965328984763427,1.0,0.4452513969505328,0.0
UNvote,time_window,avg_reoccur,0,0.4962282064887811,0.5,0.5862487378249377,0.5862487378249377,0.7707132266277363,0.6313764023650698,0.6313764023650698,0.0528408368565893,0.0,0.8827319587628866,,0.9330329246601724,1.0,0.057869812873603044,0.0
UNvote,time_window,fixed,0,0.5011648564064801,0.5,0.5725885945250423,0.5725885945250423,0.7817100164721512,0.6216191089837997,0.6216191089837997,0.022650669126471665,0.0,0.9626288659793815,,0.982101884879637,1.0,0.027301124057870572,0.0
UNvote,unlim_mem,fixed,0,0.5002899484536083,0.5,0.5478592421292381,0.5478592421292381,0.7729344261371673,0.5847512290998874,0.5847512290998874,0.005060852970886243,0.0,0.9922680412371134,1.0,0.9963102518761254,1.0,0.006778350515463917,0.0
UNvote,window_freq_weight,avg_reoccur,0,0.4996069587628866,0.42519007731958763,0.5858535432130813,0.5858535432130813,0.3345508744857436,0.5561887915615762,0.5561887915615762,0.005432805910261282,0.0029698698046500163,1.0704815556741356,,0.9921765904172047,0.12019202932130695,0.006134020618556701,0.003176546391752577
UNvote,window_freq_weight,fixed,0,0.5024576583210604,0.5066688144329896,0.597657058339451,0.597657058339451,0.35990830177706307,0.5864672354641524,0.5864672354641524,0.02501701103847849,0.26499505528195505,1.9959417191276758,,0.96594392610775,0.27086226998767404,0.030708762886597935,0.33001185783591785
USLegis,freq_weight,fixed,0,0.5645,0.5481333333333334,0.5656719962192122,0.5656719962192122,0.5827300392442937,0.5984581111111111,0.5984581111111111,0.4724011269725328,0.40749049388452974,0.493500874878015,0.7255843892085985,0.6525780795577316,0.589066532886132,0.475,0.3233333333333333
USLegis,repeat_freq,fixed,0,0.5214666666666666,0.5,0.5134571573984943,0.5134571573984943,0.5899222533982251,0.5214666666666666,0.5214666666666666,0.23397999876407374,0.0,0.0,,0.6011445067964504,1.0,0.1574,0.0
USLegis,time_window,avg_reoccur,0,0.5042,0.5,0.5026959459459459,0.5026959459459459,0.32758783783783785,0.49579999999999996,0.49579999999999996,0.021839080459770118,0.0,0.84,,0.9856756756756756,1.0,0.019,0.0
USLegis,time_window,fixed,0,0.5980333333333333,0.5,0.5840468256304333,0.5840468256304333,0.7125518893820759,0.6262333333333333,0.6262333333333333,0.45470422228496127,0.0,0.16,1.0,0.7217613632450295,1.0,0.39480000000000004,0.0
USLegis,unlim_mem,fixed,0,0.5628333333333333,0.5,0.5572077137975107,0.5572077137975107,0.7047368297377813,0.5943333333333334,0.5943333333333334,0.47066105716365064,0.0,0.2,1.0,0.6616633374252251,1.0,0.4888,0.0
USLegis,window_freq_weight,avg_reoccur,0,0.5042,0.5,0.5026959459459459,0.5026959459459459,0.32758783783783785,0.49579999999999996,0.49579999999999996,0.021839080459770118,0.0,0.582243631670354,,0.9856756756756756,1.0,0.019,0.0
USLegis,window_freq_weight,fixed,0,0.5618333333333333,0.5201,0.5841529001833518,0.5841529001833518,0.593318177805995,0.6255433333333333,0.6255433333333333,0.29332241007066434,0.1302784187340062,0.5848703130510488,0.6931471805599452,0.813613844928789,0.5588156999823984,0.25,0.09280000000000001
enron,freq_weight,fixed,0,0.8317021276595745,0.8488872915468658,0.8759898654764225,0.8759898654764225,0.880376912357032,0.8879392425166684,0.8879392425166684,0.7781767134123739,0.8244684976128336,1.6325353391145256,1.474485926716193,0.8321924617611951,0.850090841767661,0.7811702127659576,0.8178435882691203
enron,repeat_freq,fixed,0,0.5540425531914893,0.5,0.7304615493530612,0.7304615493530612,0.8313396069141273,0.7450071880391032,0.7450071880391032,0.17089844392016437,0.0,0.6382978723404256,,0.9548594342162009,1.0,0.12101063829787234,0.0
enron,time_window,avg_reoccur,0,0.5304255319148936,0.5,0.789920565199643,0.789920565199643,0.8787276953288751,0.8093473260494536,0.8093473260494536,0.10354834837903402,0.0,0.8085106382978723,1.0,0.9681209564038432,1.0,0.07824468085106383,0.0
enron,time_window,fixed,0,0.5076329787234043,0.5,0.8364701473180658,0.8364701473180658,0.9033259136085204,0.871007763082231,0.871007763082231,0.042048591938121674,0.0,0.9148936170212766,,0.9685918924218794,1.0,0.035,0.0
enron,unlim_mem,fixed,0,0.5034308510638298,0.5,0.8064687321221047,0.8064687321221047,0.8867325482054652,0.8554585968947671,0.8554585968947671,0.040287889342311874,0.0,0.9148936170212766,,0.960847416165378,1.0,0.03670212765957446,0.0
enron,window_freq_weight,avg_reoccur,0,0.7687356239217941,0.7799734042553191,0.797020232322484,0.797020232322484,0.8544492104374033,0.8100326674036025,0.8100326674036025,0.6719809747813722,0.713047920317973,1.0152294096798795,0.9083664087583125,0.8900168404774743,0.9109523171477372,0.5731095457159286,0.6095212765957447
enron,window_freq_weight,fixed,0,0.8471513801035078,0.8566992524439334,0.871900628035813,0.871900628035813,0.8881886409918118,0.8853478032769687,0.8853478032769687,0.7938890294065828,0.8348321595332802,1.229201928214018,1.128519505416358,0.8527598435703307,0.8914551988036178,0.764005175388154,0.7952285796434733
lastfm,freq_weight,fixed,0,0.8029388585268911,0.8195110234753447,0.841812614856707,0.841812614856707,0.8582292157074706,0.867700334224739,0.867700334224739,0.767635677704708,0.8144483647314813,1.1165625658174725,0.869373862561642,0.8357804137869222,0.8336399284239344,0.7594869581418456,0.7984766488634952
lastfm,repeat_freq,fixed,0,0.5906030927835051,0.5,0.7229134362988605,0.7229134362988605,0.8319355882884196,0.7532386970562662,0.7532386970562662,0.28417387221762525,0.0,0.5350515463917526,1.0,0.9255146988754521,1.0,0.2245979381443299,0.0
lastfm,time_window,avg_reoccur,0,0.5038247422680412,0.5,0.7833146994693152,0.7833146994693152,0.8749350954864179,0.8172075518569122,0.8172075518569122,0.011725620369071505,0.0,0.9814432989690721,1.0,0.99714701271592,1.0,0.009396907216494844,0.0
lastfm,time_window,fixed,0,0.5001881443298969,0.5,0.7925607584174426,0.7925607584174426,0.881571530733903,0.8374761209787603,0.8374761209787603,0.0006230529595015575,0.0,0.9989690721649485,1.0,0.9997955184459402,1.0,0.0005,0.0
lastfm,unlim_mem,fixed,0,0.5,0.5,0.7715449565633337,0.7715449565633337,0.8737308167914752,0.8342223636815304,0.8342223636815304,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
