,dataset,mem_mode,w_mode,run_mean,run_std,acc_aupr_opt_thr_mean,acc_aupr_opt_thr_std,acc_auroc_opt_thr_mean,acc_auroc_opt_thr_std,ap_mean,ap_std,ap_inherent_mean,ap_inherent_std,au_pr_score_mean,au_pr_score_std,au_roc_score_mean,au_roc_score_std,auc_inherent_mean,auc_inherent_std,f1_aupr_opt_thr_mean,f1_aupr_opt_thr_std,f1_auroc_opt_thr_mean,f1_auroc_opt_thr_std,opt_thr_au_pr_mean,opt_thr_au_pr_std,opt_thr_au_roc_mean,opt_thr_au_roc_std,prec_aupr_opt_thr_mean,prec_aupr_opt_thr_std,prec_auroc_opt_thr_mean,prec_auroc_opt_thr_std,rec_aupr_opt_thr_mean,rec_aupr_opt_thr_std,rec_auroc_opt_thr_mean,rec_auroc_opt_thr_std
25,UNtrade,unlim_mem,fixed,0.0,,0.5,,0.5,,0.5713,,0.5713,,0.7802,,0.6238,,0.6238,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
26,UNtrade,window_freq_weight,avg_reoccur,0.0,,0.5004,,0.4035,,0.6061,,0.6061,,0.3433,,0.5845,,0.5845,,0.0046,,0.0046,,1.0933,,0.6931,,0.9948,,0.0078,,0.0048,,0.0048,
27,UNtrade,window_freq_weight,fixed,0.0,,0.5022,,0.615,,0.6149,,0.6149,,0.3786,,0.6123,,0.6123,,0.0092,,0.5748,,1.5744,,0.9775,,0.9952,,0.5118,,0.0105,,0.6589,
28,UNvote,freq_weight,fixed,0.0,,0.5471,,0.5961,,0.5836,,0.5836,,0.5747,,0.6182,,0.6182,,0.3344,,0.6433,,3.1516,,2.502,,0.6766,,0.5746,,0.4209,,0.7592,
29,UNvote,repeat_freq,fixed,0.0,,0.5509,,0.5,,0.5363,,0.5363,,0.6593,,0.5586,,0.5586,,0.4638,,0.0,,0.0515,,,,0.5965,,1.0,,0.4453,,0.0,
30,UNvote,time_window,avg_reoccur,0.0,,0.4962,,0.5,,0.5862,,0.5862,,0.7707,,0.6314,,0.6314,,0.0528,,0.0,,0.8827,,,,0.933,,1.0,,0.0579,,0.0,
31,UNvote,time_window,fixed,0.0,,0.5012,,0.5,,0.5726,,0.5726,,0.7817,,0.6216,,0.6216,,0.0227,,0.0,,0.9626,,,,0.9821,,1.0,,0.0273,,0.0,
32,UNvote,unlim_mem,fixed,0.0,,0.5003,,0.5,,0.5479,,0.5479,,0.7729,,0.5848,,0.5848,,0.0051,,0.0,,0.9923,,1.0,,0.9963,,1.0,,0.0068,,0.0,
33,UNvote,window_freq_weight,avg_reoccur,0.0,,0.4996,,0.4252,,0.5859,,0.5859,,0.3346,,0.5562,,0.5562,,0.0054,,0.003,,1.0705,,,,0.9922,,0.1202,,0.0061,,0.0032,
34,UNvote,window_freq_weight,fixed,0.0,,0.5025,,0.5067,,0.5977,,0.5977,,0.3599,,0.5865,,0.5865,,0.025,,0.265,,1.9959,,,,0.9659,,0.2709,,0.0307,,0.33,
35,USLegis,freq_weight,fixed,0.0,,0.5645,,0.5481,,0.5657,,0.5657,,0.5827,,0.5985,,0.5985,,0.4724,,0.4075,,0.4935,,0.7256,,0.6526,,0.5891,,0.475,,0.3233,
36,USLegis,repeat_freq,fixed,0.0,,0.5215,,0.5,,0.5135,,0.5135,,0.5899,,0.5215,,0.5215,,0.234,,0.0,,0.0,,,,0.6011,,1.0,,0.1574,,0.0,
37,USLegis,time_window,avg_reoccur,0.0,,0.5042,,0.5,,0.5027,,0.5027,,0.3276,,0.4958,,0.4958,,0.0218,,0.0,,0.84,,,,0.9857,,1.0,,0.019,,0.0,
38,USLegis,time_window,fixed,0.0,,0.598,,0.5,,0.584,,0.584,,0.7126,,0.6262,,0.6262,,0.4547,,0.0,,0.16,,1.0,,0.7218,,1.0,,0.3948,,0.0,
39,USLegis,unlim_mem,fixed,0.0,,0.5628,,0.5,,0.5572,,0.5572,,0.7047,,0.5943,,0.5943,,0.4707,,0.0,,0.2,,1.0,,0.6617,,1.0,,0.4888,,0.0,
40,USLegis,window_freq_weight,avg_reoccur,0.0,,0.5042,,0.5,,0.5027,,0.5027,,0.3276,,0.4958,,0.4958,,0.0218,,0.0,,0.5822,,,,0.9857,,1.0,,0.019,,0.0,
41,USLegis,window_freq_weight,fixed,0.0,,0.5618,,0.5201,,0.5842,,0.5842,,0.5933,,0.6255,,0.6255,,0.2933,,0.1303,,0.5849,,0.6931,,0.8136,,0.5588,,0.25,,0.0928,
42,enron,freq_weight,fixed,0.0,,0.8317,,0.8489,,0.876,,0.876,,0.8804,,0.8879,,0.8879,,0.7782,,0.8245,,1.6325,,1.4745,,0.8322,,0.8501,,0.7812,,0.8178,
43,enron,repeat_freq,fixed,0.0,,0.554,,0.5,,0.7305,,0.7305,,0.8313,,0.745,,0.745,,0.1709,,0.0,,0.6383,,,,0.9549,,1.0,,0.121,,0.0,
44,enron,time_window,avg_reoccur,0.0,,0.5304,,0.5,,0.7899,,0.7899,,0.8787,,0.8093,,0.8093,,0.1035,,0.0,,0.8085,,1.0,,0.9681,,1.0,,0.0782,,0.0,
45,enron,time_window,fixed,0.0,,0.5076,,0.5,,0.8365,,0.8365,,0.9033,,0.871,,0.871,,0.042,,0.0,,0.9149,,,,0.9686,,1.0,,0.035,,0.0,
46,enron,unlim_mem,fixed,0.0,,0.5034,,0.5,,0.8065,,0.8065,,0.8867,,0.8555,,0.8555,,0.0403,,0.0,,0.9149,,,,0.9608,,1.0,,0.0367,,0.0,
47,enron,window_freq_weight,avg_reoccur,0.0,,0.7687,,0.78,,0.797,,0.797,,0.8544,,0.81,,0.81,,0.672,,0.713,,1.0152,,0.9084,,0.89,,0.911,,0.5731,,0.6095,
48,enron,window_freq_weight,fixed,0.0,,0.8472,,0.8567,,0.8719,,0.8719,,0.8882,,0.8853,,0.8853,,0.7939,,0.8348,,1.2292,,1.1285,,0.8528,,0.8915,,0.764,,0.7952,
49,lastfm,freq_weight,fixed,0.0,,0.8029,,0.8195,,0.8418,,0.8418,,0.8582,,0.8677,,0.8677,,0.7676,,0.8144,,1.1166,,0.8694,,0.8358,,0.8336,,0.7595,,0.7985,
50,lastfm,repeat_freq,fixed,0.0,,0.5906,,0.5,,0.7229,,0.7229,,0.8319,,0.7532,,0.7532,,0.2842,,0.0,,0.5351,,1.0,,0.9255,,1.0,,0.2246,,0.0,
51,lastfm,time_window,avg_reoccur,0.0,,0.5038,,0.5,,0.7833,,0.7833,,0.8749,,0.8172,,0.8172,,0.0117,,0.0,,0.9814,,1.0,,0.9971,,1.0,,0.0094,,0.0,
52,lastfm,time_window,fixed,0.0,,0.5002,,0.5,,0.7926,,0.7926,,0.8816,,0.8375,,0.8375,,0.0006,,0.0,,0.999,,1.0,,0.9998,,1.0,,0.0005,,0.0,
53,lastfm,unlim_mem,fixed,0.0,,0.5,,0.5,,0.7715,,0.7715,,0.8737,,0.8342,,0.8342,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
54,lastfm,window_freq_weight,avg_reoccur,0.0,,0.7661,,0.771,,0.8206,,0.8206,,0.8754,,0.83,,0.83,,0.6987,,0.7128,,0.8052,,0.7119,,0.9161,,0.918,,0.5826,,0.5929,
55,lastfm,window_freq_weight,fixed,0.0,,0.7955,,0.804,,0.8436,,0.8436,,0.8798,,0.8576,,0.8576,,0.7516,,0.7745,,0.866,,0.7237,,0.8914,,0.8909,,0.6714,,0.6906,
56,mooc,freq_weight,fixed,0.0,,0.5359,,0.5336,,0.5495,,0.5495,,0.5657,,0.5525,,0.5525,,0.3557,,0.2856,,0.7252,,,,0.596,,0.6236,,0.3154,,0.2005,
57,mooc,repeat_freq,fixed,0.0,,0.5269,,0.5,,0.5184,,0.5184,,0.5873,,0.5269,,0.5269,,0.2541,,0.0,,0.0,,,,0.5929,,1.0,,0.1636,,0.0,
58,mooc,time_window,avg_reoccur,0.0,,0.5924,,0.5,,0.5717,,0.5717,,0.6977,,0.5924,,0.5924,,0.3928,,0.0,,0.0,,1.0,,0.7604,,1.0,,0.2702,,0.0,
59,mooc,time_window,fixed,0.0,,0.6077,,0.5,,0.5789,,0.5789,,0.6978,,0.6077,,0.6077,,0.4709,,0.0,,0.0,,1.0,,0.7185,,1.0,,0.354,,0.0,
60,mooc,unlim_mem,fixed,0.0,,0.547,,0.5,,0.5287,,0.5287,,0.6391,,0.5476,,0.5476,,0.4852,,0.0,,0.0032,,,,0.5622,,1.0,,0.4318,,0.0,
61,mooc,window_freq_weight,avg_reoccur,0.0,,0.583,,0.5501,,0.5821,,0.5821,,0.6783,,0.5939,,0.5939,,0.3489,,0.2262,,0.262,,0.7014,,0.7886,,0.794,,0.2405,,0.135,
